Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
India,IND,Men,2001,20.7592383153319,20.5074153943361,21.0141205417124,0.0108420466994344,0.00775759823774366,0.0147927703790687,0.00063790135094211,0.000399170696996459,0.000979491427623921,0.283537867374576,0.250576781584078,0.318193408076071,0.183740642680594,0.156879359705191,0.211711901257487,0.419683585948582,0.38548405050509,0.454981674658044,0.102195857396813,0.0837067845082429,0.121796785323354,0.0102041453484923,0.00711085307244831,0.0141124807996019,0.000492089198870249,0.000272229654419292,0.000809991833255687,0.000145812152071861,6.62812461284607e-05,0.000269459983940422
India,IND,Men,2002,20.8348481278709,20.591835000377,21.0777212263117,0.0115856227436,0.00836464387043427,0.0156071934925601,0.00070933680262336,0.00044777988440674,0.00108616717468951,0.279991885339018,0.247410043582679,0.313938330246246,0.181793177707516,0.15539187953989,0.209286165855381,0.421273532705956,0.38723738373425,0.456314655986544,0.105355781603911,0.0867755769246925,0.125320793647098,0.0108762859409766,0.00768306834953154,0.014889702695325,0.000546271766691609,0.000304929975690311,0.000890120680806377,0.000163065035931751,7.68347315906374e-05,0.000296094071819833
India,IND,Men,2003,20.9087819678213,20.6777568881278,21.1407325268379,0.0123765351277136,0.00901707205173569,0.0164983686148411,0.000788820544418856,0.00050121067557611,0.0011949129907522,0.276389074823088,0.244507485687832,0.309886974446273,0.179794570225919,0.153502104447816,0.207042324186129,0.422850122208666,0.389178045675175,0.457607216383135,0.108589697714613,0.0900665970344944,0.128836546568814,0.0115877145832947,0.00823398718111993,0.0157177268762724,0.000605968810089013,0.000342800476925536,0.000983000986249107,0.000182851734329843,8.85606383969995e-05,0.000327488534476821
India,IND,Men,2004,20.9792464213579,20.7552706993816,21.2040787022688,0.0132159731947886,0.00966637258599148,0.017588296086698,0.000877192804660211,0.000561768269503228,0.00131620806730201,0.272712132912526,0.241220715823795,0.306335270129526,0.177758524877788,0.151648426016735,0.20509221954631,0.424416883547805,0.3912107347389,0.458914821176622,0.111896485567092,0.0932166431034636,0.132383851831813,0.0123387803901284,0.00881926717006572,0.0166434555159428,0.000671595998145895,0.000385392335574015,0.0010832236149594,0.000205596806514316,0.000101667514109723,0.000366017156790607
India,IND,Men,2005,21.0461370946242,20.8291425800983,21.2624199798919,0.0141066049324537,0.010327923056913,0.0186739684044698,0.000975776783743563,0.000628147178791591,0.00146170230423154,0.269003523100842,0.236926281054645,0.303084788475952,0.175673096068146,0.149790304221844,0.20326911686708,0.425952146630211,0.392668472114042,0.460607039313733,0.115264629368347,0.0959514110006772,0.13601727240017,0.0131308281487102,0.00935225835539502,0.017662715289554,0.000743886193714041,0.000428657021965695,0.00118896732941439,0.000231890590029522,0.000116542010115615,0.000409867190746508
India,IND,Men,2006,21.1106336153279,20.8959449892084,21.324145492814,0.0150558735105317,0.0110071746925767,0.0199227312942645,0.00108597341270427,0.000700291315802417,0.00161793629416117,0.265254453859569,0.2332838635014,0.299407785425512,0.173530229672617,0.147812578377069,0.201554499939163,0.427453481445831,0.393326151888224,0.463164920825587,0.118705961611451,0.098891745900421,0.140351859141722,0.0139699000978274,0.00993217994740964,0.0188040265811513,0.000823599834532149,0.000478429437466255,0.00131899754305729,0.000262373578172123,0.000132836959650596,0.000466413850425557
India,IND,Men,2007,21.1756854746946,20.9590736395793,21.389466538501,0.0160659647981025,0.0117355836939757,0.021321603493597,0.00120950474418504,0.000773020188820413,0.00179383798864771,0.261450802964156,0.229105039893388,0.296538396375384,0.171334715735413,0.145345620101525,0.200272784369158,0.428922631393801,0.393595897710049,0.465173877923626,0.122225885208527,0.101517242576033,0.144883099759389,0.0148564600539175,0.0105257433856565,0.0200037216794057,0.00091171515450636,0.000524421765539393,0.00146387617984233,0.000297789589678684,0.000151240347800961,0.000531057587494558
India,IND,Men,2008,21.2414716328809,21.0191948682411,21.4640352229927,0.0171438833409725,0.0125086729336471,0.022805840453654,0.00134810961554369,0.000851102879850401,0.00202048444732071,0.257597014093089,0.223993638024308,0.294197212163714,0.169086145184992,0.142678825059846,0.198863569358806,0.430356787534212,0.39385116272569,0.468218930849852,0.125816169946735,0.103948765212804,0.149925222541281,0.0157957737254288,0.0111707683392869,0.0214359072272807,0.00100874087853542,0.000571413339162707,0.0016418606028945,0.000339368737008267,0.000168317066468922,0.000604922108067705
India,IND,Men,2009,21.3080100579844,21.0738319208714,21.5451823963873,0.0182917987523108,0.0132406156577191,0.0245636886242206,0.00150391260869243,0.000941506382048621,0.0022749327286861,0.253693014808757,0.218719180946006,0.291467797652932,0.166807589954722,0.139706092629855,0.197311258848468,0.43173387525226,0.393564745751573,0.471875515549639,0.129473721331951,0.106267220929304,0.154939684791216,0.0167878861436184,0.0117697429376884,0.0228850422856506,0.0011160349524808,0.000620052518265969,0.00184920243077402,0.000387877656211637,0.000187083465698388,0.000706813882568866
India,IND,Men,2010,21.3752948505917,21.1195774429004,21.6294445281119,0.0195134952894611,0.0139831487684298,0.0262752841645484,0.00167912297327517,0.00103028215044886,0.00257869010553611,0.249765881363736,0.212397347624901,0.289371353482707,0.164497731605928,0.136341548692494,0.196406466694484,0.433035973373589,0.393036902461672,0.47499539444377,0.133186918467286,0.108630784883276,0.160878190427034,0.0178343723161859,0.0123851805555131,0.0245929604551693,0.00123462761097377,0.000667977787041193,0.00207994409909973,0.000444495362301395,0.000205990633611909,0.000819390909056808
