Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
United Kingdom,GBR,Men,1985,24.9323171402514,24.5735855024603,25.285289632626,0.110485191875238,0.08673600639423,0.135735206055429,0.0110783199994064,0.0068823993739439,0.016198284030802,0.0129070845352921,0.00832307886055589,0.0187767660395614,0.0386116513626429,0.0282909358479276,0.0511872664974866,0.430777268997683,0.388263863136903,0.473298427908817,0.407218803329143,0.364971116785569,0.448800580017838,0.0994068718758318,0.0756563884807671,0.124403178142036,0.0099054012674649,0.00584137395206046,0.0149863370837135,0.00117291873194152,0.0005409809080977,0.00213372543159007
United Kingdom,GBR,Men,1986,25.0270582625543,24.7070374772058,25.3528236146704,0.1138683001381,0.0903057054086241,0.138502722890951,0.0118383383964119,0.00755008588875018,0.0170257194126886,0.0125088590748249,0.00822775923212762,0.0180209939134236,0.0374948589412363,0.0278272919648146,0.0492078230320643,0.425904012283702,0.384958201718809,0.466822064481771,0.410223969662137,0.369603979738167,0.450215574977428,0.102029961741688,0.0786177537956485,0.126095050364545,0.0105392529789504,0.00639134539766517,0.0157041965606431,0.00129908541746152,0.000625037594369924,0.00232453664352654
United Kingdom,GBR,Men,1987,25.1241995378912,24.8289458515351,25.4256696267527,0.117363797844685,0.0939332291089253,0.141591318828051,0.0126561891234044,0.00820748521875095,0.0179906003500814,0.0121351255564718,0.00811993916566314,0.0173299276499342,0.0364150955948044,0.0271997499844877,0.0473789468490551,0.42100121173675,0.381538427301508,0.460642724179831,0.41308476936729,0.373974472934137,0.451930546246359,0.10470760872128,0.0817361219388125,0.128521800389507,0.0112171533143983,0.0069615906407648,0.016473272417058,0.00143903580900606,0.000720409467117801,0.00252110876236043
United Kingdom,GBR,Men,1988,25.2239314316186,24.9556984199109,25.500611509047,0.120982462766436,0.0978461141694615,0.145365867858935,0.0135385125000498,0.00896496216169401,0.0189600874193755,0.011782540071342,0.00801200916192539,0.0166876887474752,0.0353688615295206,0.0266102751480539,0.0457609177985751,0.416066657999,0.37851431713512,0.454594998872681,0.415799477733702,0.378299816221617,0.453483527734453,0.107443950266386,0.0849622449511495,0.131211052957976,0.0119435343186625,0.00758332457617234,0.0173131499341935,0.00159497818138733,0.000831054491081613,0.00275247727514024
United Kingdom,GBR,Men,1989,25.3265942255992,25.07244046915,25.5859009048386,0.124735259588664,0.101817759499279,0.149043322712436,0.0144944104471453,0.00984455442222864,0.0200096927722845,0.0114472649800914,0.00788345825481785,0.0160085528384004,0.0343564272702323,0.0260165317516454,0.0441313197986321,0.411105116923999,0.374783370452797,0.448579094642059,0.418355931337013,0.381739651810338,0.45474681953185,0.110240849141519,0.087867336093175,0.133868455274724,0.0127249592908733,0.00819983530780878,0.0181656607422678,0.00176945115627204,0.000951714344318516,0.00298086649654766
United Kingdom,GBR,Men,1990,25.4328426021238,25.1916392942343,25.6769943584287,0.128622573702949,0.106261993322715,0.152762972775857,0.015529032668196,0.0106863809956078,0.0212155479404321,0.0111271331058143,0.00769331119555912,0.0154925312226213,0.0333742147012957,0.025405995136818,0.042630827281965,0.406087883627925,0.370668866361463,0.442320243638198,0.420788194962017,0.384958472364577,0.456250364004304,0.113093541034753,0.0909497448744986,0.136660963888467,0.01356474511857,0.00894637119992976,0.0191195784915785,0.00196428754962608,0.00108162418266302,0.00324690951724206
United Kingdom,GBR,Men,1991,25.5418588848964,25.3131935724194,25.7705876147131,0.132703980568342,0.110405068830915,0.156703428552434,0.016658437097049,0.0116534377561865,0.0223987517577186,0.0108152979738117,0.00750499374354324,0.0149653846407778,0.0324069200827984,0.0248105918883721,0.0412131763347115,0.400955059639816,0.366915716918438,0.435943813101331,0.423118741835231,0.387811985559053,0.457940928111043,0.116045543471293,0.0942474830579993,0.139439145782295,0.0144757566549135,0.00970080865124113,0.020149515564724,0.00218268044213553,0.00123045816855807,0.00353377799420367
United Kingdom,GBR,Men,1992,25.6529226135235,25.4332546862833,25.8705795314727,0.136980752534178,0.114602781522247,0.161027931046776,0.0178845694251046,0.0126880063779849,0.0238943311112933,0.0105114763538718,0.00735058910491401,0.0145028117173369,0.0314586776602506,0.0241406049821521,0.0397568857562283,0.395731588186029,0.362171342493534,0.429923627435578,0.42531750536567,0.390555752472014,0.459371145292604,0.119096183109073,0.0974117328243677,0.142334116079978,0.0154587178220457,0.010537930884172,0.0213453126842119,0.00242585160305894,0.00139728875802898,0.00387781478839084
United Kingdom,GBR,Men,1993,25.7657018892245,25.5577432677779,25.9710379248833,0.141459965594663,0.11920025544661,0.165489590847801,0.0192132618761794,0.013830656205103,0.0255117132794477,0.0102145280295576,0.00719505043317119,0.0140112721828883,0.0305318452846043,0.0234883689244383,0.0385621752827088,0.390434549829891,0.357830043697197,0.423577276372309,0.427359111361284,0.393388318399656,0.461014595870664,0.122246703718483,0.100590478325245,0.14584458071616,0.016517114709683,0.011385008821459,0.0226934910179809,0.00269614716649641,0.00158631690090946,0.0042433612081896
United Kingdom,GBR,Men,1994,25.879512351867,25.6811341142371,26.077577079084,0.146130147950503,0.123995522411486,0.170114828929119,0.0206475673610892,0.0150960610210097,0.0272182803969481,0.00992269943214678,0.00704809235458783,0.0135470074343031,0.0296232264113787,0.0227857171243928,0.0374315495305882,0.385062544003447,0.353050705606517,0.417159164117687,0.429261382302524,0.396064200207764,0.462442628175736,0.125482580589414,0.104021182925766,0.149016558395663,0.0176513814870973,0.0123439651237809,0.0239802158560566,0.00299618587399198,0.00181477233885913,0.00464298249125178
